method,game,regime,faithfulness_naive,faithfulness_sampler,semantic_recovery,record_path
vanilla_saliency,pong,position,0.0,0.790569,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_vanilla_saliency_pong.json
gradxinput,pong,position,0.0,0.790569,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_gradxinput_pong.json
smoothgrad,pong,position,0.0,0.790569,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_smoothgrad_pong.json
integrated_gradients,pong,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_integrated_gradients_pong.json
expected_gradients,pong,position,0.0,0.790569,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_expected_gradients_pong.json
vanilla_saliency,breakout,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_vanilla_saliency_breakout.json
gradxinput,breakout,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_gradxinput_breakout.json
smoothgrad,breakout,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_smoothgrad_breakout.json
integrated_gradients,breakout,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_integrated_gradients_breakout.json
expected_gradients,breakout,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_expected_gradients_breakout.json
vanilla_saliency,space_invaders,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_vanilla_saliency_space_invaders.json
gradxinput,space_invaders,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_gradxinput_space_invaders.json
smoothgrad,space_invaders,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_smoothgrad_space_invaders.json
integrated_gradients,space_invaders,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_integrated_gradients_space_invaders.json
expected_gradients,space_invaders,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_expected_gradients_space_invaders.json
vanilla_saliency,seaquest,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_vanilla_saliency_seaquest.json
gradxinput,seaquest,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_gradxinput_seaquest.json
smoothgrad,seaquest,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_smoothgrad_seaquest.json
integrated_gradients,seaquest,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_integrated_gradients_seaquest.json
expected_gradients,seaquest,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_expected_gradients_seaquest.json
vanilla_saliency,ms_pacman,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_vanilla_saliency_ms_pacman.json
gradxinput,ms_pacman,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_gradxinput_ms_pacman.json
smoothgrad,ms_pacman,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_smoothgrad_ms_pacman.json
integrated_gradients,ms_pacman,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_integrated_gradients_ms_pacman.json
expected_gradients,ms_pacman,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_expected_gradients_ms_pacman.json
vanilla_saliency,qbert,position,0.0,0.5289,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_vanilla_saliency_qbert.json
gradxinput,qbert,position,0.0,0.5289,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_gradxinput_qbert.json
smoothgrad,qbert,position,0.0,0.5289,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_smoothgrad_qbert.json
integrated_gradients,qbert,position,0.0,0.5289,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_integrated_gradients_qbert.json
expected_gradients,qbert,position,0.0,0.0,0,tools/xai_study/phaseB_attribution/sampler_on/out/sampler_expected_gradients_qbert.json
